route_id,origin_city,destination_city,mode,avg_cost_inr,duration_hrs,distance_km
1,Delhi,Jodhpur,Flight,4161,1.7,490.2
2,Delhi,Jodhpur,Train-AC,839,10.5,490.2
3,Delhi,Jodhpur,Train-Sleeper,419,10.5,490.2
4,Mumbai,Jodhpur,Flight,6957,2.1,796.6
5,Mumbai,Jodhpur,Train-AC,1351,13.8,796.6
6,Mumbai,Jodhpur,Train-Sleeper,471,13.8,796.6
7,Delhi,Rishikesh,Flight,2361,1.3,193.3
8,Delhi,Rishikesh,Train-AC,493,4.0,193.3
9,Delhi,Rishikesh,Train-Sleeper,218,4.0,193.3
10,Mumbai,Rishikesh,Flight,8220,2.9,1339.6
11,Mumbai,Rishikesh,Train-AC,2306,22.6,1339.6
12,Mumbai,Rishikesh,Train-Sleeper,902,22.6,1339.6
13,Mumbai,Calangute,Flight,4159,1.7,483.5
14,Mumbai,Calangute,Train-AC,943,8.1,483.5
15,Mumbai,Calangute,Train-Sleeper,340,8.1,483.5
16,Bangalore,Calangute,Flight,3275,1.6,423.6
17,Bangalore,Calangute,Train-AC,1001,7.9,423.6
18,Bangalore,Calangute,Train-Sleeper,386,7.9,423.6
19,Pune,Mumbai,Flight,3642,1.7,522.5
20,Pune,Mumbai,Train-AC,894,9.1,522.5
21,Pune,Mumbai,Train-Sleeper,330,9.1,522.5
22,Bangalore,Munnar,Flight,3675,1.5,325.8
23,Bangalore,Munnar,Train-AC,624,5.8,325.8
24,Bangalore,Munnar,Train-Sleeper,252,5.8,325.8
25,Chennai,Munnar,Flight,4241,1.7,482.8
26,Chennai,Munnar,Train-AC,963,10.5,482.8
27,Chennai,Munnar,Train-Sleeper,336,10.5,482.8
28,Bangalore,Kochi,Flight,3352,1.5,367.7
29,Bangalore,Kochi,Train-AC,929,7.7,367.7
30,Bangalore,Kochi,Train-Sleeper,295,7.7,367.7
31,Chennai,Kochi,Flight,5162,1.8,559.5
32,Chennai,Kochi,Train-AC,1035,9.5,559.5
33,Chennai,Kochi,Train-Sleeper,430,9.5,559.5
34,Chennai,Puducherry,Train-AC,433,2.6,136.5
35,Chennai,Puducherry,Train-Sleeper,179,2.6,136.5
36,Bangalore,Puducherry,Flight,3064,1.4,266.2
37,Bangalore,Puducherry,Train-AC,728,5.8,266.2
38,Bangalore,Puducherry,Train-Sleeper,263,5.8,266.2
39,Chennai,Kanyakumari,Flight,5317,1.9,630.5
40,Chennai,Kanyakumari,Train-AC,1257,11.7,630.5
41,Chennai,Kanyakumari,Train-Sleeper,479,11.7,630.5
42,Bangalore,Kanyakumari,Flight,4932,1.8,543.0
43,Bangalore,Kanyakumari,Train-AC,1207,10.6,543.0
44,Bangalore,Kanyakumari,Train-Sleeper,364,10.6,543.0
45,Delhi,Haridwar,Flight,2520,1.2,174.7
46,Delhi,Haridwar,Train-AC,505,3.7,174.7
47,Delhi,Haridwar,Train-Sleeper,211,3.7,174.7
48,Mumbai,Haridwar,Flight,10259,2.9,1321.2
49,Mumbai,Haridwar,Train-AC,1951,22.6,1321.2
50,Mumbai,Haridwar,Train-Sleeper,702,22.6,1321.2
51,Delhi,Jaipur,Flight,2611,1.3,235.3
52,Delhi,Jaipur,Train-AC,570,5.1,235.3
53,Delhi,Jaipur,Train-Sleeper,236,5.1,235.3
54,Mumbai,Jaipur,Flight,6098,2.3,920.7
55,Mumbai,Jaipur,Train-AC,2025,19.7,920.7
56,Mumbai,Jaipur,Train-Sleeper,558,19.7,920.7
57,Delhi,Gulmarg,Flight,5115,1.9,664.2
58,Delhi,Gulmarg,Train-AC,1244,11.2,664.2
59,Delhi,Gulmarg,Train-Sleeper,487,11.2,664.2
60,Mumbai,Gulmarg,Flight,13387,3.4,1706.3
61,Mumbai,Gulmarg,Train-AC,2614,33.0,1706.3
62,Mumbai,Gulmarg,Train-Sleeper,886,33.0,1706.3
63,Kolkata,Darjeeling,Flight,4391,1.7,497.0
64,Kolkata,Darjeeling,Train-AC,869,8.7,497.0
65,Kolkata,Darjeeling,Train-Sleeper,335,8.7,497.0
66,Delhi,Darjeeling,Flight,7447,2.6,1100.9
67,Delhi,Darjeeling,Train-AC,2081,23.2,1100.9
68,Delhi,Darjeeling,Train-Sleeper,853,23.2,1100.9
69,Chennai,Kodaikanal,Flight,5215,1.8,582.2
70,Chennai,Kodaikanal,Train-AC,1049,12.1,582.2
71,Chennai,Kodaikanal,Train-Sleeper,437,12.1,582.2
72,Bangalore,Kodaikanal,Flight,3301,1.6,417.4
73,Bangalore,Kodaikanal,Train-AC,982,7.7,417.4
74,Bangalore,Kodaikanal,Train-Sleeper,389,7.7,417.4
75,Delhi,Agra,Flight,2382,1.3,178.1
76,Delhi,Agra,Train-AC,462,3.3,178.1
77,Delhi,Agra,Train-Sleeper,182,3.3,178.1
78,Mumbai,Agra,Flight,8376,2.5,1042.0
79,Mumbai,Agra,Train-AC,1450,22.3,1042.0
80,Mumbai,Agra,Train-Sleeper,722,22.3,1042.0
81,Chennai,Bangalore,Flight,4132,1.9,612.7
82,Chennai,Bangalore,Train-AC,1076,11.5,612.7
83,Chennai,Bangalore,Train-Sleeper,444,11.5,612.7
84,Bangalore,Alleppey,Flight,3671,1.6,409.8
85,Bangalore,Alleppey,Train-AC,1000,7.9,409.8
86,Bangalore,Alleppey,Train-Sleeper,323,7.9,409.8
87,Chennai,Alleppey,Flight,5505,1.8,585.3
88,Chennai,Alleppey,Train-AC,1365,11.3,585.3
89,Chennai,Alleppey,Train-Sleeper,411,11.3,585.3
90,Chennai,Ooty,Flight,3935,1.6,431.1
91,Chennai,Ooty,Train-AC,857,8.6,431.1
92,Chennai,Ooty,Train-Sleeper,349,8.6,431.1
93,Bangalore,Ooty,Flight,2545,1.3,199.7
94,Bangalore,Ooty,Train-AC,450,4.2,199.7
95,Bangalore,Ooty,Train-Sleeper,191,4.2,199.7
96,Bangalore,Chennai,Flight,2497,1.3,241.3
97,Bangalore,Chennai,Train-AC,505,4.8,241.3
98,Bangalore,Chennai,Train-Sleeper,205,4.8,241.3
99,Delhi,Udaipur,Flight,3992,1.8,566.9
100,Delhi,Udaipur,Train-AC,1015,9.6,566.9
101,Delhi,Udaipur,Train-Sleeper,428,9.6,566.9
102,Mumbai,Udaipur,Flight,4901,1.9,618.6
103,Mumbai,Udaipur,Train-AC,1016,13.2,618.6
104,Mumbai,Udaipur,Train-Sleeper,532,13.2,618.6
105,Kolkata,Shillong,Flight,3602,1.7,490.0
106,Kolkata,Shillong,Train-AC,1022,8.8,490.0
107,Kolkata,Shillong,Train-Sleeper,311,8.8,490.0
108,Delhi,Shillong,Flight,7665,3.1,1491.2
