city,state,month,avg_max_temp_c,avg_min_temp_c,avg_rainfall_mm,humidity_pct,condition,good_time_to_visit
Jodhpur,Rajasthan,Jan,25.8,15.6,11.3,33,Pleasant,Yes
Jodhpur,Rajasthan,Feb,27.5,17.6,1.9,34,Pleasant,Yes
Jodhpur,Rajasthan,Mar,31.6,21.1,34.2,42,Pleasant,Yes
Jodhpur,Rajasthan,Apr,38.7,28.8,24.7,36,Hot & Dry,No
Jodhpur,Rajasthan,May,42.5,31.8,17.6,36,Hot & Dry,No
Jodhpur,Rajasthan,Jun,41.3,32.8,165.4,74,Monsoon/Rainy,No
Jodhpur,Rajasthan,Jul,39.7,30.2,283.8,68,Monsoon/Rainy,No
Jodhpur,Rajasthan,Aug,38.0,29.1,261.3,68,Monsoon/Rainy,No
Jodhpur,Rajasthan,Sep,32.6,23.0,287.4,71,Monsoon/Rainy,No
Jodhpur,Rajasthan,Oct,27.7,17.5,10.1,33,Pleasant,Yes
Jodhpur,Rajasthan,Nov,24.6,15.3,33.0,39,Pleasant,Yes
Jodhpur,Rajasthan,Dec,22.6,11.0,29.7,33,Pleasant,Yes
Rishikesh,Uttarakhand,Jan,2.4,-7.9,7.4,34,Cold,No
Rishikesh,Uttarakhand,Feb,7.1,-5.6,10.2,36,Cold,No
Rishikesh,Uttarakhand,Mar,11.8,-0.9,16.1,33,Cold,No
Rishikesh,Uttarakhand,Apr,13.7,2.9,12.9,42,Pleasant,Yes
Rishikesh,Uttarakhand,May,18.4,6.5,7.5,36,Pleasant,Yes
Rishikesh,Uttarakhand,Jun,17.1,6.7,218.4,82,Monsoon/Rainy,Yes
Rishikesh,Uttarakhand,Jul,18.3,7.6,181.0,76,Monsoon/Rainy,No
Rishikesh,Uttarakhand,Aug,16.3,3.4,127.9,69,Pleasant,No
Rishikesh,Uttarakhand,Sep,8.6,-3.2,288.0,75,Monsoon/Rainy,Yes
Rishikesh,Uttarakhand,Oct,7.5,-5.6,37.6,43,Cold,Yes
Rishikesh,Uttarakhand,Nov,2.3,-11.4,27.4,33,Cold,Yes
Rishikesh,Uttarakhand,Dec,1.8,-11.2,9.5,47,Cold,No
Calangute,Goa,Jan,29.4,23.1,28.9,81,Pleasant,Yes
Calangute,Goa,Feb,28.8,22.9,22.8,79,Pleasant,Yes
Calangute,Goa,Mar,28.3,22.0,39.6,70,Pleasant,Yes
Calangute,Goa,Apr,29.8,24.6,38.7,75,Pleasant,No
Calangute,Goa,May,29.0,23.8,3.0,74,Pleasant,No
Calangute,Goa,Jun,29.7,24.4,441.8,75,Monsoon/Rainy,No
Calangute,Goa,Jul,29.5,23.5,388.6,74,Monsoon/Rainy,No
Calangute,Goa,Aug,31.8,24.2,857.7,67,Monsoon/Rainy,No
Calangute,Goa,Sep,29.7,23.5,878.9,80,Monsoon/Rainy,No
Calangute,Goa,Oct,30.3,23.0,26.2,74,Pleasant,Yes
Calangute,Goa,Nov,27.3,22.0,12.4,79,Pleasant,Yes
Calangute,Goa,Dec,28.3,21.0,34.8,88,Pleasant,Yes
Mumbai,Maharashtra,Jan,23.4,13.5,16.4,38,Pleasant,Yes
Mumbai,Maharashtra,Feb,25.5,14.9,16.8,33,Pleasant,Yes
Mumbai,Maharashtra,Mar,30.4,18.8,9.3,41,Pleasant,Yes
Mumbai,Maharashtra,Apr,34.6,24.3,29.2,40,Pleasant,No
Mumbai,Maharashtra,May,38.5,29.2,12.5,37,Hot & Dry,No
Mumbai,Maharashtra,Jun,38.8,26.8,152.8,81,Monsoon/Rainy,No
Mumbai,Maharashtra,Jul,37.3,28.1,229.8,78,Monsoon/Rainy,No
Mumbai,Maharashtra,Aug,34.9,24.9,314.4,72,Monsoon/Rainy,No
Mumbai,Maharashtra,Sep,30.0,18.8,295.4,76,Monsoon/Rainy,No
Mumbai,Maharashtra,Oct,27.8,17.6,14.1,32,Pleasant,Yes
Mumbai,Maharashtra,Nov,25.3,13.4,16.6,44,Pleasant,Yes
Mumbai,Maharashtra,Dec,22.2,10.5,2.2,32,Pleasant,Yes
Munnar,Kerala,Jan,14.0,2.7,35.5,34,Pleasant,No
Munnar,Kerala,Feb,17.3,4.3,15.2,46,Pleasant,No
Munnar,Kerala,Mar,19.3,7.8,26.4,47,Pleasant,Yes
Munnar,Kerala,Apr,21.9,10.4,33.7,39,Pleasant,Yes
Munnar,Kerala,May,22.8,10.4,32.0,38,Pleasant,Yes
Munnar,Kerala,Jun,21.3,11.5,515.3,70,Monsoon/Rainy,Yes
Munnar,Kerala,Jul,23.0,10.8,858.8,77,Monsoon/Rainy,No
Munnar,Kerala,Aug,20.8,8.6,794.4,79,Monsoon/Rainy,No
Munnar,Kerala,Sep,19.0,6.0,352.6,73,Monsoon/Rainy,Yes
Munnar,Kerala,Oct,15.8,5.4,38.2,43,Pleasant,Yes
Munnar,Kerala,Nov,15.6,5.5,36.9,32,Pleasant,Yes
Munnar,Kerala,Dec,15.3,4.1,35.1,37,Pleasant,No
Kochi,Kerala,Jan,30.4,21.4,39.1,42,Pleasant,Yes
Kochi,Kerala,Feb,31.9,21.7,15.4,40,Pleasant,Yes
Kochi,Kerala,Mar,32.7,21.7,16.1,37,Pleasant,No
Kochi,Kerala,Apr,33.7,22.4,1.3,36,Pleasant,No
Kochi,Kerala,May,33.3,22.8,9.4,40,Pleasant,No
Kochi,Kerala,Jun,31.5,23.2,767.3,75,Monsoon/Rainy,No
Kochi,Kerala,Jul,32.8,21.0,737.9,71,Monsoon/Rainy,No
Kochi,Kerala,Aug,32.4,21.8,788.5,71,Monsoon/Rainy,No
Kochi,Kerala,Sep,32.0,20.6,403.3,75,Monsoon/Rainy,No
Kochi,Kerala,Oct,30.6,19.4,0.9,41,Pleasant,No
Kochi,Kerala,Nov,30.3,18.9,19.2,33,Pleasant,Yes
Kochi,Kerala,Dec,30.5,19.1,22.7,42,Pleasant,Yes
Puducherry,Puducherry,Jan,24.9,19.4,38.2,86,Pleasant,Yes
Puducherry,Puducherry,Feb,26.7,21.7,32.0,80,Pleasant,Yes
Puducherry,Puducherry,Mar,29.5,22.8,29.2,84,Pleasant,Yes
Puducherry,Puducherry,Apr,30.5,23.5,19.3,87,Pleasant,No
Puducherry,Puducherry,May,31.1,23.6,1.8,69,Pleasant,No
Puducherry,Puducherry,Jun,32.9,26.0,7.5,80,Pleasant,No
Puducherry,Puducherry,Jul,30.9,24.9,20.3,85,Pleasant,No
Puducherry,Puducherry,Aug,30.3,24.4,21.3,71,Pleasant,No
Puducherry,Puducherry,Sep,29.9,24.8,20.9,77,Pleasant,No
Puducherry,Puducherry,Oct,27.3,20.0,317.7,89,Monsoon/Rainy,Yes
Puducherry,Puducherry,Nov,25.8,19.8,232.9,86,Monsoon/Rainy,Yes
Puducherry,Puducherry,Dec,25.5,17.9,282.4,88,Monsoon/Rainy,Yes
Kanyakumari,Tamil Nadu,Jan,29.0,23.4,11.3,73,Pleasant,Yes
Kanyakumari,Tamil Nadu,Feb,32.3,26.6,5.0,67,Pleasant,Yes
Kanyakumari,Tamil Nadu,Mar,31.7,26.2,12.2,85,Pleasant,Yes
Kanyakumari,Tamil Nadu,Apr,33.7,27.1,6.1,66,Pleasant,No
Kanyakumari,Tamil Nadu,May,34.5,28.6,16.4,86,Pleasant,No
Kanyakumari,Tamil Nadu,Jun,33.6,27.5,26.6,84,Pleasant,No
Kanyakumari,Tamil Nadu,Jul,35.2,28.6,13.9,86,Hot & Humid,No
Kanyakumari,Tamil Nadu,Aug,35.6,28.5,35.4,79,Hot & Humid,No
Kanyakumari,Tamil Nadu,Sep,34.1,27.3,36.9,74,Pleasant,No
Kanyakumari,Tamil Nadu,Oct,30.5,23.1,234.6,66,Monsoon/Rainy,Yes
Kanyakumari,Tamil Nadu,Nov,31.8,25.5,207.9,89,Monsoon/Rainy,Yes
Kanyakumari,Tamil Nadu,Dec,31.2,23.9,200.9,67,Monsoon/Rainy,Yes
Haridwar,Uttarakhand,Jan,16.7,6.6,3.1,46,Pleasant,Yes
Haridwar,Uttarakhand,Feb,23.8,12.0,16.1,44,Pleasant,Yes
Haridwar,Uttarakhand,Mar,30.3,20.9,5.1,40,Pleasant,Yes
Haridwar,Uttarakhand,Apr,40.2,28.4,38.4,44,Hot & Dry,No
Haridwar,Uttarakhand,May,44.3,35.1,17.4,46,Hot & Humid,No
