restaurant_id,name,city,state,cuisine_type,price_range,cost_for_two_inr,rating,veg_type,description
1,Green Leaf Courtyard,Jodhpur,Rajasthan,Continental,₹₹,887,3.6,Both,Continental both restaurant in Jodhpur.
2,The Terrace Restaurant,Jodhpur,Rajasthan,Rajasthani,₹₹₹,1998,3.7,Both,Rajasthani both restaurant in Jodhpur.
3,Namak Diner,Rishikesh,Uttarakhand,Multi-cuisine,₹,413,4.1,Veg,Multi-cuisine veg restaurant in Rishikesh.
4,Riverside Eatery,Rishikesh,Uttarakhand,Kerala,₹₹,878,3.0,Veg,Kerala veg restaurant in Rishikesh.
5,Spice Route Eatery,Calangute,Goa,South Indian,₹,266,3.9,Both,South Indian both restaurant in Calangute.
6,Golden Corner,Calangute,Goa,Mughlai,₹,221,3.4,Both,Mughlai both restaurant in Calangute.
7,Riverside Courtyard,Calangute,Goa,Goan,₹₹₹,1767,4.4,Both,Goan both restaurant in Calangute.
8,Coastal Corner,Calangute,Goa,North Indian,₹₹₹,1574,4.4,Both,North Indian both restaurant in Calangute.
9,Namak Kitchen,Calangute,Goa,Kerala,₹,332,4.2,Veg,Kerala veg restaurant in Calangute.
10,Tadka Courtyard,Mumbai,Maharashtra,Seafood,₹₹,982,3.9,Both,Seafood both restaurant in Mumbai.
11,Bawarchi Eatery,Mumbai,Maharashtra,Italian,₹,410,3.9,Both,Italian both restaurant in Mumbai.
12,Local Bhavan,Mumbai,Maharashtra,Continental,₹,367,4.1,Both,Continental both restaurant in Mumbai.
13,Old Town Courtyard,Mumbai,Maharashtra,Mughlai,₹₹₹,1312,4.3,Both,Mughlai both restaurant in Mumbai.
14,Heritage Diner,Munnar,Kerala,Italian,₹₹₹,1880,3.7,Veg,Italian veg restaurant in Munnar.
15,Mishti Grill,Munnar,Kerala,Punjabi,₹₹₹,1565,3.7,Both,Punjabi both restaurant in Munnar.
16,Zaika Grill,Munnar,Kerala,Continental,₹,328,4.0,Non-Veg,Continental non-veg restaurant in Munnar.
17,Royal Corner,Munnar,Kerala,Mughlai,₹,231,4.1,Veg,Mughlai veg restaurant in Munnar.
18,Copper Pot Dhaba,Munnar,Kerala,Kerala,₹₹,862,4.2,Both,Kerala both restaurant in Munnar.
19,Riverside Kitchen,Kochi,Kerala,Mughlai,₹₹₹,1178,4.3,Veg,Mughlai veg restaurant in Kochi.
20,Blue Ginger Cafe,Kochi,Kerala,North Indian,₹,439,4.2,Non-Veg,North Indian non-veg restaurant in Kochi.
21,Curry Leaf Grill,Kochi,Kerala,Chettinad,₹₹₹,1013,4.2,Veg,Chettinad veg restaurant in Kochi.
22,Bawarchi Dhaba,Puducherry,Puducherry,South Indian,₹₹,997,4.4,Both,South Indian both restaurant in Puducherry.
23,Copper Pot House,Puducherry,Puducherry,Bengali,₹,385,4.1,Both,Bengali both restaurant in Puducherry.
24,Local Restaurant,Kanyakumari,Tamil Nadu,Rajasthani,₹₹,548,4.0,Both,Rajasthani both restaurant in Kanyakumari.
25,Red Chili Bistro,Kanyakumari,Tamil Nadu,Bengali,₹₹,957,4.3,Non-Veg,Bengali non-veg restaurant in Kanyakumari.
26,The Spice Terrace,Kanyakumari,Tamil Nadu,Kerala,₹₹,866,4.7,Both,Kerala both restaurant in Kanyakumari.
27,Southern Spice Dhaba,Haridwar,Uttarakhand,Cafe,₹₹₹₹,3560,4.7,Both,Cafe both restaurant in Haridwar.
28,Garden Kitchen,Haridwar,Uttarakhand,Chinese,₹,219,4.1,Veg,Chinese veg restaurant in Haridwar.
29,Blue Ginger Junction,Jaipur,Rajasthan,Kerala,₹,358,4.3,Veg,Kerala veg restaurant in Jaipur.
30,Garden Diner,Jaipur,Rajasthan,Continental,₹₹,723,3.7,Both,Continental both restaurant in Jaipur.
