destination_id,name,state,region,category,best_months,avg_summer_temp_c,avg_winter_temp_c,ideal_days,popularity_score,avg_daily_budget_inr,latitude,longitude,description
1,Jaipur,Rajasthan,West,Heritage,Oct-Mar,38,17,1,8,3208,27.3103,70.873,"Heritage destination in Rajasthan, known for its heritage appeal."
2,Udaipur,Rajasthan,West,Heritage,Oct-Mar,34,20,3,8,3329,27.328,75.731,"Heritage destination in Rajasthan, known for its heritage appeal."
3,Jodhpur,Rajasthan,West,Heritage,Oct-Mar,37,18,2,9,3574,24.5288,71.1001,"Heritage destination in Rajasthan, known for its heritage appeal."
4,Jaisalmer,Rajasthan,West,Desert,Oct-Mar,42,6,3,7,2577,23.166,74.118,"Desert destination in Rajasthan, known for its desert appeal."
5,Pushkar,Rajasthan,West,Pilgrimage,Oct-Mar,34,20,1,5,2492,27.8982,73.4644,"Pilgrimage destination in Rajasthan, known for its pilgrimage appeal."
6,Mount Abu,Rajasthan,West,Hill Station,"Mar-Jun, Sep-Nov",15,-1,3,6,2929,25.775,69.6405,"Hill Station destination in Rajasthan, known for its hill station appeal."
7,Bikaner,Rajasthan,West,Desert,Oct-Mar,39,9,4,6,2438,26.5653,69.8026,"Desert destination in Rajasthan, known for its desert appeal."
8,Ajmer,Rajasthan,West,Pilgrimage,Oct-Mar,32,17,2,6,2358,26.7445,74.3111,"Pilgrimage destination in Rajasthan, known for its pilgrimage appeal."
9,Chittorgarh,Rajasthan,West,Heritage,Oct-Mar,37,15,2,6,2829,29.4428,74.7615,"Heritage destination in Rajasthan, known for its heritage appeal."
10,Ranthambore,Rajasthan,West,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",37,15,3,6,2845,29.0806,76.0764,"Wildlife destination in Rajasthan, known for its wildlife appeal."
11,Bundi,Rajasthan,West,Heritage,Oct-Mar,36,21,2,3,1634,26.9074,70.7401,"Heritage destination in Rajasthan, known for its heritage appeal."
12,Alwar,Rajasthan,West,Heritage,Oct-Mar,32,22,3,3,1892,24.4308,69.5486,"Heritage destination in Rajasthan, known for its heritage appeal."
13,Sariska,Rajasthan,West,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",32,9,3,5,2445,27.3629,77.6514,"Wildlife destination in Rajasthan, known for its wildlife appeal."
14,Nathdwara,Rajasthan,West,Pilgrimage,Oct-Mar,40,20,1,6,2373,23.4576,72.2366,"Pilgrimage destination in Rajasthan, known for its pilgrimage appeal."
15,Mandawa,Rajasthan,West,Heritage,Oct-Mar,39,18,3,6,2603,29.3879,73.6555,"Heritage destination in Rajasthan, known for its heritage appeal."
16,Kumbhalgarh,Rajasthan,West,Heritage,Oct-Mar,36,16,1,7,2800,28.551,73.8454,"Heritage destination in Rajasthan, known for its heritage appeal."
17,Deshnoke,Rajasthan,West,Pilgrimage,Oct-Mar,40,23,2,6,2205,23.2263,75.1004,"Pilgrimage destination in Rajasthan, known for its pilgrimage appeal."
18,Sawai Madhopur,Rajasthan,West,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",33,12,3,7,2543,25.9548,76.1489,"Wildlife destination in Rajasthan, known for its wildlife appeal."
19,Bharatpur,Rajasthan,West,Wildlife,"Nov-Jun (parks often shut Jul-Sep, monsoon)",33,15,2,5,2021,29.6938,76.6115,"Wildlife destination in Rajasthan, known for its wildlife appeal."
20,Neemrana,Rajasthan,West,Heritage,Oct-Mar,40,18,2,6,2727,24.3433,77.3545,"Heritage destination in Rajasthan, known for its heritage appeal."
21,Nawalgarh,Rajasthan,West,Heritage,Oct-Mar,38,22,3,3,1630,27.6634,69.5046,"Heritage destination in Rajasthan, known for its heritage appeal."
22,Jhunjhunu,Rajasthan,West,Heritage,Oct-Mar,40,16,3,5,2194,24.5992,70.5548,"Heritage destination in Rajasthan, known for its heritage appeal."
23,Barmer,Rajasthan,West,Desert,Oct-Mar,41,13,4,5,2343,26.7353,75.6866,"Desert destination in Rajasthan, known for its desert appeal."
24,Pali,Rajasthan,West,Heritage,Oct-Mar,32,14,2,6,2310,28.0134,75.768,"Heritage destination in Rajasthan, known for its heritage appeal."
25,Sirohi,Rajasthan,West,Hill Station,"Mar-Jun, Sep-Nov",18,-4,3,5,2672,26.6193,69.953,"Hill Station destination in Rajasthan, known for its hill station appeal."
26,Dungarpur,Rajasthan,West,Heritage,Oct-Mar,36,14,1,5,2371,26.8227,73.4405,"Heritage destination in Rajasthan, known for its heritage appeal."
27,Banswara,Rajasthan,West,Heritage,Oct-Mar,37,20,3,5,2162,24.7436,76.5676,"Heritage destination in Rajasthan, known for its heritage appeal."
28,Kota,Rajasthan,West,Heritage,Oct-Mar,36,17,2,5,2463,28.7481,70.8263,"Heritage destination in Rajasthan, known for its heritage appeal."
29,Karauli,Rajasthan,West,Heritage,Oct-Mar,37,16,3,6,2137,26.6871,71.4932,"Heritage destination in Rajasthan, known for its heritage appeal."
30,Sikar,Rajasthan,West,Heritage,Oct-Mar,38,17,1,3,1696,26.7278,76.8718,"Heritage destination in Rajasthan, known for its heritage appeal."
31,Ranakpur,Rajasthan,West,Pilgrimage,Oct-Mar,40,22,2,4,1854,27.7519,76.6916,"Pilgrimage destination in Rajasthan, known for its pilgrimage appeal."
32,Osian,Rajasthan,West,Desert,Oct-Mar,38,9,2,4,2527,29.951,74.413,"Desert destination in Rajasthan, known for its desert appeal."
33,Deogarh,Rajasthan,West,Heritage,Oct-Mar,38,22,1,5,2385,29.096,77.0357,"Heritage destination in Rajasthan, known for its heritage appeal."
