destination_id,name,country,region,category,ideal_days,popularity_score,avg_daily_budget_inr,visa_required_for_indians,description
1,Dubai,United Arab Emirates,Middle East,Urban,4,6,7046,Visa on Arrival/e-Visa,Urban destination in United Arab Emirates.
2,Abu Dhabi,United Arab Emirates,Middle East,Urban,2,3,7324,Visa on Arrival/e-Visa,Urban destination in United Arab Emirates.
3,Sharjah,United Arab Emirates,Middle East,Heritage,3,5,6702,Visa on Arrival/e-Visa,Heritage destination in United Arab Emirates.
4,Bangkok,Thailand,Southeast Asia,Urban,2,6,3368,Visa on Arrival/e-Visa,Urban destination in Thailand.
5,Phuket,Thailand,Southeast Asia,Beach,4,3,3946,Visa on Arrival/e-Visa,Beach destination in Thailand.
6,Pattaya,Thailand,Southeast Asia,Beach,2,5,4014,Visa on Arrival/e-Visa,Beach destination in Thailand.
7,Chiang Mai,Thailand,Southeast Asia,Hill Station,3,7,2858,Visa on Arrival/e-Visa,Hill Station destination in Thailand.
8,Krabi,Thailand,Southeast Asia,Beach,2,7,3943,Visa on Arrival/e-Visa,Beach destination in Thailand.
9,Koh Samui,Thailand,Southeast Asia,Island,5,6,4324,Visa on Arrival/e-Visa,Island destination in Thailand.
10,Singapore City,Singapore,Southeast Asia,Urban,4,5,4179,e-Visa,Urban destination in Singapore.
11,Sentosa Island,Singapore,Southeast Asia,Island,4,4,3938,e-Visa,Island destination in Singapore.
12,Kuala Lumpur,Malaysia,Southeast Asia,Urban,3,7,2800,Visa-free (short stay),Urban destination in Malaysia.
13,Langkawi,Malaysia,Southeast Asia,Island,6,5,3482,Visa-free (short stay),Island destination in Malaysia.
14,Penang,Malaysia,Southeast Asia,Beach,3,6,3467,Visa-free (short stay),Beach destination in Malaysia.
15,Genting Highlands,Malaysia,Southeast Asia,Hill Station,4,5,3522,Visa-free (short stay),Hill Station destination in Malaysia.
16,Bali,Indonesia,Southeast Asia,Island,6,7,3539,Visa on Arrival/e-Visa,Island destination in Indonesia.
17,Jakarta,Indonesia,Southeast Asia,Urban,2,4,4490,Visa on Arrival/e-Visa,Urban destination in Indonesia.
18,Male,Maldives,South Asia,Island,5,5,2838,Visa on Arrival,Island destination in Maldives.
19,Maafushi,Maldives,South Asia,Island,6,5,3530,Visa on Arrival,Island destination in Maldives.
20,Colombo,Sri Lanka,South Asia,Urban,2,8,2427,e-Visa,Urban destination in Sri Lanka.
21,Kandy,Sri Lanka,South Asia,Heritage,3,3,2857,e-Visa,Heritage destination in Sri Lanka.
22,Galle,Sri Lanka,South Asia,Heritage,3,3,2822,e-Visa,Heritage destination in Sri Lanka.
23,Nuwara Eliya,Sri Lanka,South Asia,Hill Station,5,6,2568,e-Visa,Hill Station destination in Sri Lanka.
24,Ella,Sri Lanka,South Asia,Hill Station,4,7,3211,e-Visa,Hill Station destination in Sri Lanka.
25,Sigiriya,Sri Lanka,South Asia,Heritage,1,3,2418,e-Visa,Heritage destination in Sri Lanka.
26,Kathmandu,Nepal,South Asia,Pilgrimage,1,7,2511,Visa-free,Pilgrimage destination in Nepal.
27,Pokhara,Nepal,South Asia,Hill Station,3,5,3495,Visa-free,Hill Station destination in Nepal.
28,Chitwan,Nepal,South Asia,Wildlife,2,6,2496,Visa-free,Wildlife destination in Nepal.
29,Lumbini,Nepal,South Asia,Pilgrimage,2,3,2895,Visa-free,Pilgrimage destination in Nepal.
30,Thimphu,Bhutan,South Asia,Hill Station,4,3,3883,Visa-free (permit required),Hill Station destination in Bhutan.
31,Paro,Bhutan,South Asia,Hill Station,5,7,3657,Visa-free (permit required),Hill Station destination in Bhutan.
