attraction_id,destination_name,state,attraction_name,category,entry_fee_indian_inr,entry_fee_foreigner_inr,avg_visit_duration_hrs,rating,description
1,Jaipur,Rajasthan,Amber Fort,Fort,250,2000,1.0,4.1,"Fort in Jaipur, Rajasthan."
2,Jaipur,Rajasthan,Hawa Mahal,Monument,40,440,2.0,4.0,"Monument in Jaipur, Rajasthan."
3,Jaipur,Rajasthan,City Palace,Monument,50,700,0.5,4.6,"Monument in Jaipur, Rajasthan."
4,Jaipur,Rajasthan,Jantar Mantar,Monument,50,550,1.5,4.0,"Monument in Jaipur, Rajasthan."
5,Udaipur,Rajasthan,City Palace Udaipur,Monument,100,1300,2.5,4.0,"Monument in Udaipur, Rajasthan."
6,Udaipur,Rajasthan,Lake Pichola,Lake,0,0,2.5,3.7,"Lake in Udaipur, Rajasthan."
7,Udaipur,Rajasthan,Jag Mandir,Monument,30,300,2.5,4.4,"Monument in Udaipur, Rajasthan."
8,Jodhpur,Rajasthan,Mehrangarh Fort,Fort,40,520,2.5,4.2,"Fort in Jodhpur, Rajasthan."
9,Jodhpur,Rajasthan,Umaid Bhawan Palace,Monument,30,390,0.5,3.8,"Monument in Jodhpur, Rajasthan."
10,Jodhpur,Rajasthan,Jaswant Thada,Monument,40,520,0.5,3.9,"Monument in Jodhpur, Rajasthan."
11,Jaisalmer,Rajasthan,Jaisalmer Fort,Fort,50,500,3.0,4.1,"Fort in Jaisalmer, Rajasthan."
12,Jaisalmer,Rajasthan,Patwon Ki Haveli,Heritage Site,100,1000,3.0,3.8,"Heritage Site in Jaisalmer, Rajasthan."
13,Pushkar,Rajasthan,Pushkar Lake,Lake,30,30,2.0,5.0,"Lake in Pushkar, Rajasthan."
14,Pushkar,Rajasthan,Brahma Temple,Temple,0,0,0.5,4.0,"Temple in Pushkar, Rajasthan."
15,Mount Abu,Rajasthan,Dilwara Temples,Temple,0,0,2.0,4.4,"Temple in Mount Abu, Rajasthan."
16,Mount Abu,Rajasthan,Nakki Lake,Lake,0,0,3.0,4.1,"Lake in Mount Abu, Rajasthan."
17,Bikaner,Rajasthan,Junagarh Fort,Fort,100,1300,2.0,4.1,"Fort in Bikaner, Rajasthan."
18,Bikaner,Rajasthan,Karni Mata Temple,Temple,0,0,2.0,4.8,"Temple in Bikaner, Rajasthan."
19,Ajmer,Rajasthan,Ajmer Old Town,Heritage Site,250,3500,3.0,4.5,"Heritage Site in Ajmer, Rajasthan."
20,Chittorgarh,Rajasthan,Chittorgarh Fort,Fort,40,440,1.0,4.7,"Fort in Chittorgarh, Rajasthan."
21,Ranthambore,Rajasthan,Ranthambore National Park,Wildlife Park,200,1000,0.5,4.0,"Wildlife Park in Ranthambore, Rajasthan."
22,Ranthambore,Rajasthan,Ranthambore Fort,Fort,250,3500,2.5,4.5,"Fort in Ranthambore, Rajasthan."
23,Bundi,Rajasthan,Bundi Heritage Walk,Heritage Site,30,360,2.5,4.3,"Heritage Site in Bundi, Rajasthan."
24,Bundi,Rajasthan,Bundi Local Market,Market,0,0,0.5,4.2,"Market in Bundi, Rajasthan."
25,Alwar,Rajasthan,Alwar Heritage Walk,Heritage Site,100,1200,3.0,4.3,"Heritage Site in Alwar, Rajasthan."
26,Alwar,Rajasthan,Alwar Community Museum,Museum,50,250,2.0,3.7,"Museum in Alwar, Rajasthan."
27,Sariska,Rajasthan,Sariska Viewpoint,Viewpoint,30,30,1.0,4.2,"Viewpoint in Sariska, Rajasthan."
28,Nathdwara,Rajasthan,Nathdwara Community Museum,Museum,30,150,2.0,4.0,"Museum in Nathdwara, Rajasthan."
29,Nathdwara,Rajasthan,Nathdwara Local Market,Market,0,0,1.5,4.1,"Market in Nathdwara, Rajasthan."
30,Mandawa,Rajasthan,Mandawa Local Market,Market,0,0,1.5,3.7,"Market in Mandawa, Rajasthan."
31,Mandawa,Rajasthan,Mandawa Old Town,Heritage Site,40,440,3.0,4.4,"Heritage Site in Mandawa, Rajasthan."
32,Kumbhalgarh,Rajasthan,Kumbhalgarh Community Museum,Museum,20,180,3.0,4.1,"Museum in Kumbhalgarh, Rajasthan."
33,Deshnoke,Rajasthan,Deshnoke Viewpoint,Viewpoint,30,30,0.5,4.1,"Viewpoint in Deshnoke, Rajasthan."
34,Deshnoke,Rajasthan,Deshnoke Heritage Walk,Heritage Site,40,360,2.0,4.6,"Heritage Site in Deshnoke, Rajasthan."
35,Sawai Madhopur,Rajasthan,Sawai Madhopur Heritage Walk,Heritage Site,100,1100,0.5,4.4,"Heritage Site in Sawai Madhopur, Rajasthan."
36,Sawai Madhopur,Rajasthan,Sawai Madhopur Local Market,Market,0,0,2.5,3.9,"Market in Sawai Madhopur, Rajasthan."
37,Bharatpur,Rajasthan,Bharatpur Old Town,Heritage Site,100,1000,0.5,4.3,"Heritage Site in Bharatpur, Rajasthan."
38,Bharatpur,Rajasthan,Bharatpur Viewpoint,Viewpoint,0,0,1.0,4.2,"Viewpoint in Bharatpur, Rajasthan."
39,Neemrana,Rajasthan,Neemrana Viewpoint,Viewpoint,20,20,0.5,4.3,"Viewpoint in Neemrana, Rajasthan."
40,Nawalgarh,Rajasthan,Nawalgarh Old Town,Heritage Site,250,3250,1.0,3.6,"Heritage Site in Nawalgarh, Rajasthan."
41,Nawalgarh,Rajasthan,Nawalgarh Viewpoint,Viewpoint,30,30,1.5,3.5,"Viewpoint in Nawalgarh, Rajasthan."
42,Jhunjhunu,Rajasthan,Jhunjhunu Viewpoint,Viewpoint,30,30,3.0,4.2,"Viewpoint in Jhunjhunu, Rajasthan."
43,Barmer,Rajasthan,Barmer Viewpoint,Viewpoint,0,0,1.0,4.6,"Viewpoint in Barmer, Rajasthan."
44,Barmer,Rajasthan,Barmer Heritage Walk,Heritage Site,50,450,3.0,3.9,"Heritage Site in Barmer, Rajasthan."
45,Pali,Rajasthan,Pali Heritage Walk,Heritage Site,40,520,0.5,4.5,"Heritage Site in Pali, Rajasthan."
46,Pali,Rajasthan,Pali Community Museum,Museum,30,150,1.0,4.2,"Museum in Pali, Rajasthan."
47,Sirohi,Rajasthan,Sirohi Community Museum,Museum,50,250,2.0,3.6,"Museum in Sirohi, Rajasthan."
48,Sirohi,Rajasthan,Sirohi Viewpoint,Viewpoint,30,30,1.0,4.4,"Viewpoint in Sirohi, Rajasthan."
49,Dungarpur,Rajasthan,Dungarpur Community Museum,Museum,20,120,1.0,3.7,"Museum in Dungarpur, Rajasthan."
50,Banswara,Rajasthan,Banswara Community Museum,Museum,20,180,2.0,4.3,"Museum in Banswara, Rajasthan."
51,Kota,Rajasthan,Kota Local Market,Market,30,30,1.0,4.6,"Market in Kota, Rajasthan."
52,Karauli,Rajasthan,Karauli Local Market,Market,0,0,1.0,4.3,"Market in Karauli, Rajasthan."
53,Sikar,Rajasthan,Sikar Old Town,Heritage Site,50,400,0.5,4.5,"Heritage Site in Sikar, Rajasthan."
54,Ranakpur,Rajasthan,Ranakpur Viewpoint,Viewpoint,30,30,0.5,4.6,"Viewpoint in Ranakpur, Rajasthan."
55,Osian,Rajasthan,Osian Old Town,Heritage Site,40,520,1.5,3.8,"Heritage Site in Osian, Rajasthan."
56,Deogarh,Rajasthan,Deogarh Old Town,Heritage Site,30,360,1.0,4.2,"Heritage Site in Deogarh, Rajasthan."
57,Churu,Rajasthan,Churu Old Town,Heritage Site,40,520,2.5,4.2,"Heritage Site in Churu, Rajasthan."
58,Munnar,Kerala,Eravikulam National Park,Park,20,20,2.5,4.3,"Park in Munnar, Kerala."
59,Munnar,Kerala,Mattupetty Dam,Landmark,30,30,0.5,4.4,"Landmark in Munnar, Kerala."
60,Alleppey,Kerala,Alleppey Backwaters,Backwaters,20,20,2.0,4.0,"Backwaters in Alleppey, Kerala."
61,Kochi,Kerala,Fort Kochi,Heritage Site,100,1100,2.5,3.9,"Heritage Site in Kochi, Kerala."
62,Kochi,Kerala,Chinese Fishing Nets,Landmark,20,20,3.0,3.9,"Landmark in Kochi, Kerala."
63,Kumarakom,Kerala,Kumarakom Local Market,Market,0,0,1.5,4.6,"Market in Kumarakom, Kerala."
64,Kumarakom,Kerala,Kumarakom Heritage Walk,Heritage Site,50,400,2.0,4.5,"Heritage Site in Kumarakom, Kerala."
65,Thekkady,Kerala,Periyar Wildlife Sanctuary,Wildlife Park,150,1050,2.0,4.5,"Wildlife Park in Thekkady, Kerala."
66,Wayanad,Kerala,Edakkal Caves,Heritage Site,50,600,2.0,3.9,"Heritage Site in Wayanad, Kerala."
67,Wayanad,Kerala,Chembra Peak,Viewpoint,30,30,1.0,4.9,"Viewpoint in Wayanad, Kerala."
68,Kovalam,Kerala,Kovalam Beach,Beach,0,0,2.0,3.8,"Beach in Kovalam, Kerala."
69,Kovalam,Kerala,Lighthouse Beach,Beach,0,0,3.0,4.3,"Beach in Kovalam, Kerala."
70,Varkala,Kerala,Varkala Heritage Walk,Heritage Site,100,1300,3.0,3.8,"Heritage Site in Varkala, Kerala."
71,Thiruvananthapuram,Kerala,Thiruvananthapuram Old Town,Heritage Site,40,360,1.5,4.0,"Heritage Site in Thiruvananthapuram, Kerala."
72,Thiruvananthapuram,Kerala,Thiruvananthapuram Heritage Walk,Heritage Site,40,440,3.0,4.4,"Heritage Site in Thiruvananthapuram, Kerala."
73,Kozhikode,Kerala,Kozhikode Community Museum,Museum,30,150,2.0,4.3,"Museum in Kozhikode, Kerala."
74,Kozhikode,Kerala,Kozhikode Local Market,Market,20,20,1.5,4.2,"Market in Kozhikode, Kerala."
75,Bekal,Kerala,Bekal Heritage Walk,Heritage Site,100,1200,2.0,4.7,"Heritage Site in Bekal, Kerala."
76,Bekal,Kerala,Bekal Old Town,Heritage Site,250,3500,2.0,4.0,"Heritage Site in Bekal, Kerala."
77,Vagamon,Kerala,Vagamon Community Museum,Museum,50,450,2.5,4.0,"Museum in Vagamon, Kerala."
78,Athirappilly,Kerala,Athirappilly Heritage Walk,Heritage Site,30,240,2.0,4.2,"Heritage Site in Athirappilly, Kerala."
79,Kannur,Kerala,Kannur Community Museum,Museum,30,240,2.0,4.0,"Museum in Kannur, Kerala."
80,Kollam,Kerala,Kollam Local Market,Market,0,0,0.5,4.3,"Market in Kollam, Kerala."
81,Kollam,Kerala,Kollam Heritage Walk,Heritage Site,30,420,2.0,4.4,"Heritage Site in Kollam, Kerala."
82,Poovar,Kerala,Poovar Viewpoint,Viewpoint,20,20,2.5,4.1,"Viewpoint in Poovar, Kerala."
